traceID,RowID,CustomBlock,DrawAnything,MoveSquarelikeThing,CreateUseParameterCorrectly,RepeatCorrectNumberOfTimes,MoveVariably,MoveSquirally
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96195,0,0,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96226,0,0,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96227,0,0,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96280,1,0,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96292,1,0,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96298,1,1,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96303,1,1,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96305,1,1,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96306,1,1,0,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96316,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96334,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96342,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96352,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96362,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96367,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96377,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96380,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96393,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96394,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96396,1,1,1,0,0,0,0
4f8dbe1d-4411-4d0f-889d-694bdd1c4312,96397,1,1,1,0,0,0,0
